Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Total Tokens (tokens),86100.87,3204.00,211027.00,12915131.00,6285.14,24564.30,31475.80,50293.50,84728.00,115738.00,147892.60,186260.10,201885.43,45581.72

Metric,Value
Benchmark Duration (sec),1817.09
Input Token Throughput (tokens/sec),7068.65
Maximum Response Timestamp (ns),1780475971175332096.00
Minimum Request Timestamp (ns),1780474154088401152.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),38.95
Request Count,150.00
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),96.05
Total Input Sequence Length (tokens),12844355.00
Total Output Sequence Length (tokens),70776.00
Total Output Tokens (tokens),70776.00
Total Token Throughput (tokens/sec),7107.60
Total Usage Completion Tokens (tokens),70776.00
Total Usage Prompt Tokens (tokens),12844355.00
Total Usage Total Tokens (tokens),12915131.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
