Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),961.33,4.00,13081.00,786364.00,6.00,10.00,15.70,123.00,407.00,1132.25,2416.50,3524.05,8281.25,1530.46
Usage Prompt Tokens (tokens),84394.55,419.00,258976.00,69034738.00,423.00,23665.70,34712.60,49960.25,84459.50,105796.25,135844.80,158780.00,243459.14,46334.34
Usage Total Tokens (tokens),85355.87,436.00,260293.00,69821102.00,444.34,23860.00,35482.50,51307.75,85046.00,107248.00,137093.30,159201.00,244631.21,46633.01

Metric,Value
Benchmark Duration (sec),1826.96
Input Token Throughput (tokens/sec),37786.75
Maximum Response Timestamp (ns),1780438132722476544.00
Minimum Request Timestamp (ns),1780436305766159360.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),430.42
Request Count,818.00
Request Throughput (requests/sec),0.45
Theoretical Prefix Cache Hit (%),95.79
Total Input Sequence Length (tokens),69034738.00
Total Output Sequence Length (tokens),786364.00
Total Output Tokens (tokens),786364.00
Total Token Throughput (tokens/sec),38217.17
Total Usage Completion Tokens (tokens),786364.00
Total Usage Prompt Tokens (tokens),69034738.00
Total Usage Total Tokens (tokens),69821102.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
