Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),5772693.72,158149.00,7655249.21,,,,,,6286940.06,,6979177.63,7147343.42,7555209.16,1499658.31
Usage Completion Tokens (tokens),527.08,1.00,12119.00,294638.00,9.58,21.90,75.80,123.00,221.00,483.50,1134.40,1983.20,4761.32,1009.78
Usage Prompt Tokens (tokens),108391.91,425.00,260223.00,60591075.00,456.06,38450.00,53552.60,65605.00,90238.00,148195.00,199194.80,226452.10,244823.32,58035.87
Usage Total Tokens (tokens),108918.99,445.00,260471.00,60885713.00,479.74,38658.00,53837.20,66089.00,90952.00,148653.00,200452.80,226684.90,244977.12,58263.99

Metric,Value
Benchmark Duration (sec),1815.99
Input Token Throughput (tokens/sec),33365.34
Maximum Response Timestamp (ns),1780128279014856960.00
Minimum Request Timestamp (ns),1780126463026437888.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),162.25
Request Count,559.00
Request Throughput (requests/sec),0.31
Theoretical Prefix Cache Hit (%),94.06
Total Input Sequence Length (tokens),60591075.00
Total Output Sequence Length (tokens),294638.00
Total Output Tokens (tokens),294638.00
Total Token Throughput (tokens/sec),33527.59
Total Usage Completion Tokens (tokens),294638.00
Total Usage Prompt Tokens (tokens),60591075.00
Total Usage Total Tokens (tokens),60885713.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
