Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),6694937.66,158149.00,8484013.50,,,,,,7302778.42,,7974244.26,8063075.51,8281928.40,1728022.83
Usage Completion Tokens (tokens),523.57,1.00,12119.00,298435.00,9.00,21.00,74.90,124.00,225.50,495.00,1084.90,1979.30,5357.22,1010.56
Usage Prompt Tokens (tokens),111559.48,417.00,260223.00,63588902.00,454.07,42494.15,57431.20,68923.25,96678.50,147210.75,197806.10,223342.00,244416.79,56425.52
Usage Total Tokens (tokens),112083.05,440.00,260471.00,63887337.00,475.00,42876.55,57548.40,69548.50,96864.00,148261.50,198490.80,223982.75,244549.18,56637.15

Metric,Value
Benchmark Duration (sec),1829.35
Input Token Throughput (tokens/sec),34760.46
Maximum Response Timestamp (ns),1780239004808527104.00
Minimum Request Timestamp (ns),1780237175462747904.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),163.14
Request Count,570.00
Request Throughput (requests/sec),0.31
Theoretical Prefix Cache Hit (%),94.61
Total Input Sequence Length (tokens),63588902.00
Total Output Sequence Length (tokens),298435.00
Total Output Tokens (tokens),298435.00
Total Token Throughput (tokens/sec),34923.60
Total Usage Completion Tokens (tokens),298435.00
Total Usage Prompt Tokens (tokens),63588902.00
Total Usage Total Tokens (tokens),63887337.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
