Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),671.67,6.00,7152.00,94705.00,6.00,9.00,12.00,112.00,238.00,674.00,1866.00,3110.00,5173.00,1126.63
Usage Prompt Tokens (tokens),80461.04,721.00,193290.00,11345007.00,1422.80,21263.00,29522.00,51734.00,84080.00,90983.00,132520.00,184724.00,191790.00,41377.42
Usage Total Tokens (tokens),81132.71,742.00,199480.00,11439712.00,1443.40,21387.00,31388.00,52113.00,84464.00,91192.00,133160.00,189357.00,194639.20,42001.82

Metric,Value
Benchmark Duration (sec),929.49
Input Token Throughput (tokens/sec),12205.66
Maximum Response Timestamp (ns),1780511054360596224.00
Minimum Request Timestamp (ns),1780510124873454080.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),101.89
Request Count,141.00
Request Throughput (requests/sec),0.15
Theoretical Prefix Cache Hit (%),95.95
Total Input Sequence Length (tokens),11345007.00
Total Output Sequence Length (tokens),94705.00
Total Output Tokens (tokens),94705.00
Total Token Throughput (tokens/sec),12307.55
Total Usage Completion Tokens (tokens),94705.00
Total Usage Prompt Tokens (tokens),11345007.00
Total Usage Total Tokens (tokens),11439712.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
