Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Total Tokens (tokens),62907.67,414.00,118913.00,14720394.00,475.96,19126.75,23936.10,38054.00,60995.00,90920.25,95004.30,97003.45,117917.98,29504.94

Metric,Value
Benchmark Duration (sec),1260.94
Input Token Throughput (tokens/sec),11603.91
Maximum Response Timestamp (ns),1780508734596194304.00
Minimum Request Timestamp (ns),1780507473658994688.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),70.26
Request Count,234.00
Request Throughput (requests/sec),0.19
Theoretical Prefix Cache Hit (%),97.19
Total Input Sequence Length (tokens),14631797.00
Total Output Sequence Length (tokens),88597.00
Total Output Tokens (tokens),88597.00
Total Token Throughput (tokens/sec),11674.17
Total Usage Completion Tokens (tokens),88597.00
Total Usage Prompt Tokens (tokens),14631797.00
Total Usage Total Tokens (tokens),14720394.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
