Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),2337153.88,122479.00,3432781.56,,,,,,2446518.97,,3014982.59,3077385.77,3314552.52,612240.39
Usage Completion Tokens (tokens),761.15,5.00,10571.00,589129.00,6.00,12.00,24.90,163.00,354.00,898.00,1802.60,3154.35,5541.10,1107.47
Usage Prompt Tokens (tokens),81081.60,400.00,256171.00,62757155.00,404.00,23874.00,39434.00,50875.75,73459.00,96216.00,128331.20,163538.55,239432.92,43408.96
Usage Total Tokens (tokens),81842.74,417.00,257242.00,63346284.00,423.73,24876.20,40098.50,51370.75,73804.50,96610.50,129604.10,164463.60,240416.72,43720.00

Metric,Value
Benchmark Duration (sec),1823.26
Input Token Throughput (tokens/sec),34420.34
Maximum Response Timestamp (ns),1780476138618201344.00
Minimum Request Timestamp (ns),1780474315360362496.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),323.12
Request Count,774.00
Request Throughput (requests/sec),0.42
Theoretical Prefix Cache Hit (%),94.52
Total Input Sequence Length (tokens),62757155.00
Total Output Sequence Length (tokens),589129.00
Total Output Tokens (tokens),589129.00
Total Token Throughput (tokens/sec),34743.46
Total Usage Completion Tokens (tokens),589129.00
Total Usage Prompt Tokens (tokens),62757155.00
Total Usage Total Tokens (tokens),63346284.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
