Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),497.75,4.00,8749.00,175707.00,6.00,6.00,9.00,61.00,188.00,522.00,1151.40,2044.20,4101.32,921.38
Usage Prompt Tokens (tokens),72523.85,399.00,248735.00,25600920.00,462.00,20309.20,25985.40,49169.00,74081.00,95601.00,104561.40,117412.40,139726.68,34147.15
Usage Total Tokens (tokens),73021.61,417.00,251509.00,25776627.00,482.60,20638.20,26209.40,49472.00,74607.00,95692.00,104640.40,117746.60,140541.08,34335.96

Metric,Value
Benchmark Duration (sec),1810.32
Input Token Throughput (tokens/sec),14141.65
Maximum Response Timestamp (ns),1780473142778459392.00
Minimum Request Timestamp (ns),1780471332457636864.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),97.06
Request Count,353.00
Request Throughput (requests/sec),0.19
Theoretical Prefix Cache Hit (%),96.48
Total Input Sequence Length (tokens),25600920.00
Total Output Sequence Length (tokens),175707.00
Total Output Tokens (tokens),175707.00
Total Token Throughput (tokens/sec),14238.71
Total Usage Completion Tokens (tokens),175707.00
Total Usage Prompt Tokens (tokens),25600920.00
Total Usage Total Tokens (tokens),25776627.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
