Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),1300159.27,48926.34,1697342.61,,,,,,1429447.00,,1578956.88,1586620.95,1687404.54,357224.53
Usage Completion Tokens (tokens),820.41,6.00,4519.00,71376.00,6.00,9.00,14.60,192.00,481.00,1066.50,2052.40,3140.80,4367.64,985.37
Usage Prompt Tokens (tokens),89017.56,403.00,190983.00,7744528.00,2050.76,27588.60,42359.00,64221.00,84726.00,115582.50,136626.40,180403.00,190432.60,43010.27
Usage Total Tokens (tokens),89837.98,421.00,194266.00,7815904.00,2064.46,28051.00,43241.00,64230.00,84927.00,117290.50,138818.00,184376.10,193210.78,43485.46

Metric,Value
Benchmark Duration (sec),1818.70
Input Token Throughput (tokens/sec),4258.28
Maximum Response Timestamp (ns),1780512062272192256.00
Minimum Request Timestamp (ns),1780510243574377472.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),39.25
Request Count,87.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),92.20
Total Input Sequence Length (tokens),7744528.00
Total Output Sequence Length (tokens),71376.00
Total Output Tokens (tokens),71376.00
Total Token Throughput (tokens/sec),4297.53
Total Usage Completion Tokens (tokens),71376.00
Total Usage Prompt Tokens (tokens),7744528.00
Total Usage Total Tokens (tokens),7815904.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
