Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),669.82,5.00,10571.00,547246.00,6.00,12.00,42.20,129.00,289.00,798.00,1610.80,2497.60,5884.76,1052.07
Usage Prompt Tokens (tokens),87857.92,407.00,247882.00,71779922.00,411.00,23884.00,37173.60,50877.00,81028.00,115154.00,154860.00,186002.80,235867.40,48015.19
Usage Total Tokens (tokens),88527.75,420.00,249263.00,72327168.00,432.00,24834.80,37718.60,51417.00,82052.00,116457.00,155942.40,189727.40,236920.04,48210.30

Metric,Value
Benchmark Duration (sec),1828.09
Input Token Throughput (tokens/sec),39265.09
Maximum Response Timestamp (ns),1780540456139527680.00
Minimum Request Timestamp (ns),1780538628054329344.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),299.35
Request Count,817.00
Request Throughput (requests/sec),0.45
Theoretical Prefix Cache Hit (%),95.96
Total Input Sequence Length (tokens),71779922.00
Total Output Sequence Length (tokens),547246.00
Total Output Tokens (tokens),547246.00
Total Token Throughput (tokens/sec),39564.44
Total Usage Completion Tokens (tokens),547246.00
Total Usage Prompt Tokens (tokens),71779922.00
Total Usage Total Tokens (tokens),72327168.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
