Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),4309655.41,129266.51,6501131.02,,,,,,4710766.00,,6411608.69,6500225.00,6500937.02,2081444.62
Usage Completion Tokens (tokens),255.28,1.00,1495.00,17614.00,7.12,19.40,21.80,61.00,173.00,339.00,608.00,790.80,1293.72,286.99
Usage Prompt Tokens (tokens),118650.91,423.00,260150.00,8186913.00,431.16,453.80,861.40,63477.00,124173.00,162477.00,220273.20,232523.40,257777.48,70267.58
Usage Total Tokens (tokens),118906.19,443.00,260471.00,8204527.00,453.88,476.80,884.20,63742.00,124211.00,162863.00,220518.60,232657.80,258247.40,70327.88

Metric,Value
Benchmark Duration (sec),1826.12
Input Token Throughput (tokens/sec),4483.24
Maximum Response Timestamp (ns),1780132897708444160.00
Minimum Request Timestamp (ns),1780131071592471552.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),9.65
Request Count,69.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),89.58
Total Input Sequence Length (tokens),8186913.00
Total Output Sequence Length (tokens),17614.00
Total Output Tokens (tokens),17614.00
Total Token Throughput (tokens/sec),4492.88
Total Usage Completion Tokens (tokens),17614.00
Total Usage Prompt Tokens (tokens),8186913.00
Total Usage Total Tokens (tokens),8204527.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
