Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),513.88,6.00,9379.00,127956.00,7.44,15.00,51.00,102.00,159.00,349.00,1041.40,2294.00,6641.32,1171.91
Usage Prompt Tokens (tokens),50852.39,432.00,119005.00,12662246.00,490.00,17131.40,21405.20,34971.00,51772.00,64199.00,74129.80,84285.40,117802.60,23096.78
Usage Total Tokens (tokens),51366.27,449.00,119106.00,12790202.00,510.40,17353.40,21874.60,35237.00,52175.00,64443.00,74637.00,85341.80,118035.04,23365.11

Metric,Value
Benchmark Duration (sec),1808.64
Input Token Throughput (tokens/sec),7000.98
Maximum Response Timestamp (ns),1780552933854983168.00
Minimum Request Timestamp (ns),1780551125214909184.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),70.75
Request Count,249.00
Request Throughput (requests/sec),0.14
Theoretical Prefix Cache Hit (%),91.42
Total Input Sequence Length (tokens),12662246.00
Total Output Sequence Length (tokens),127956.00
Total Output Tokens (tokens),127956.00
Total Token Throughput (tokens/sec),7071.72
Total Usage Completion Tokens (tokens),127956.00
Total Usage Prompt Tokens (tokens),12662246.00
Total Usage Total Tokens (tokens),12790202.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
