Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),115643.30,437.00,260223.00,11217400.00,718.28,50163.80,53181.60,80343.00,111185.00,149769.00,199365.60,222999.20,260152.92,56845.84
Usage Total Tokens (tokens),115893.31,465.00,260471.00,11241651.00,744.36,50426.60,53321.00,81081.00,111306.00,149996.00,199763.60,223161.80,260346.20,56919.90

Metric,Value
Benchmark Duration (sec),1823.17
Input Token Throughput (tokens/sec),6152.68
Maximum Response Timestamp (ns),1780123468941990400.00
Minimum Request Timestamp (ns),1780121645769447680.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),13.30
Request Count,97.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),90.99
Total Input Sequence Length (tokens),11217400.00
Total Output Sequence Length (tokens),24251.00
Total Output Tokens (tokens),24251.00
Total Token Throughput (tokens/sec),6165.98
Total Usage Completion Tokens (tokens),24251.00
Total Usage Prompt Tokens (tokens),11217400.00
Total Usage Total Tokens (tokens),11241651.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
