Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Total Tokens (tokens),81997.87,449.00,119106.00,5083868.00,878.44,55650.25,60428.70,63437.50,77043.00,113880.75,117826.00,118794.20,119106.00,26742.23

Metric,Value
Benchmark Duration (sec),1736.56
Input Token Throughput (tokens/sec),2888.14
Maximum Response Timestamp (ns),1780552396114889216.00
Minimum Request Timestamp (ns),1780550659555071232.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),39.41
Request Count,62.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),95.32
Total Input Sequence Length (tokens),5015426.00
Total Output Sequence Length (tokens),68442.00
Total Output Tokens (tokens),68442.00
Total Token Throughput (tokens/sec),2927.55
Total Usage Completion Tokens (tokens),68442.00
Total Usage Prompt Tokens (tokens),5015426.00
Total Usage Total Tokens (tokens),5083868.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
