Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),3043539.49,100954.00,3906406.68,,,,,,3126921.06,,3606498.91,3685224.52,3798665.61,538101.20
Usage Completion Tokens (tokens),688.11,4.00,11711.00,837426.00,11.00,23.00,93.60,163.00,347.00,791.00,1588.40,2313.20,5679.72,1036.99
Usage Prompt Tokens (tokens),63716.87,405.00,124752.00,77543431.00,409.00,13590.20,33958.80,47094.00,62384.00,81091.00,102167.20,106968.80,120245.64,27036.39
Usage Total Tokens (tokens),64404.98,423.00,126481.00,78380857.00,429.00,13760.40,34297.40,47595.00,62959.00,82203.00,102564.80,107288.00,122121.40,27145.93

Metric,Value
Benchmark Duration (sec),1828.31
Input Token Throughput (tokens/sec),42412.70
Maximum Response Timestamp (ns),1780502416841160192.00
Minimum Request Timestamp (ns),1780500588534220800.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),458.03
Request Count,1217.00
Request Throughput (requests/sec),0.67
Theoretical Prefix Cache Hit (%),94.93
Total Input Sequence Length (tokens),77543431.00
Total Output Sequence Length (tokens),837426.00
Total Output Tokens (tokens),837426.00
Total Token Throughput (tokens/sec),42870.73
Total Usage Completion Tokens (tokens),837426.00
Total Usage Prompt Tokens (tokens),77543431.00
Total Usage Total Tokens (tokens),78380857.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
