Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),82721.30,2317.00,193822.00,7444917.00,2317.89,18946.60,24323.00,47551.75,83725.00,105377.00,143362.40,186028.40,192964.93,46159.78
Usage Total Tokens (tokens),83962.43,2330.00,194144.00,7556619.00,2330.00,19323.65,25165.90,47841.75,84175.50,107645.25,147491.90,188032.80,193782.66,46533.61

Metric,Value
Benchmark Duration (sec),1825.23
Input Token Throughput (tokens/sec),4078.89
Maximum Response Timestamp (ns),1780512256148394240.00
Minimum Request Timestamp (ns),1780510430918068992.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),61.20
Request Count,90.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),96.14
Total Input Sequence Length (tokens),7444917.00
Total Output Sequence Length (tokens),111702.00
Total Output Tokens (tokens),111702.00
Total Token Throughput (tokens/sec),4140.09
Total Usage Completion Tokens (tokens),111702.00
Total Usage Prompt Tokens (tokens),7444917.00
Total Usage Total Tokens (tokens),7556619.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
