Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),854.62,4.00,10710.00,494824.00,6.00,6.00,12.00,109.00,334.00,977.50,2267.80,3558.50,7582.48,1384.82
Usage Prompt Tokens (tokens),94514.17,420.00,248749.00,54723706.00,2405.00,27018.50,38242.20,64534.00,95114.00,110753.50,147782.60,183911.60,232196.58,44927.59
Usage Total Tokens (tokens),95368.79,435.00,251523.00,55218530.00,2421.34,27785.70,38340.00,64829.50,95520.00,112582.50,149887.60,184506.30,237684.96,45382.80

Metric,Value
Benchmark Duration (sec),1815.92
Input Token Throughput (tokens/sec),30135.48
Maximum Response Timestamp (ns),1780441195068320512.00
Minimum Request Timestamp (ns),1780439379145467392.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),272.49
Request Count,579.00
Request Throughput (requests/sec),0.32
Theoretical Prefix Cache Hit (%),95.92
Total Input Sequence Length (tokens),54723706.00
Total Output Sequence Length (tokens),494824.00
Total Output Tokens (tokens),494824.00
Total Token Throughput (tokens/sec),30407.97
Total Usage Completion Tokens (tokens),494824.00
Total Usage Prompt Tokens (tokens),54723706.00
Total Usage Total Tokens (tokens),55218530.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
