Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),671.95,6.00,6075.00,92057.00,8.16,23.20,97.80,229.00,379.00,781.00,1445.40,2491.00,3375.44,826.57
Usage Prompt Tokens (tokens),54894.45,409.00,118957.00,7520540.00,409.36,32614.40,34687.20,47258.00,50423.00,62312.00,79589.40,113138.00,118205.12,22037.37
Usage Total Tokens (tokens),55566.40,428.00,119058.00,7612597.00,428.36,33051.00,35169.00,47487.00,51315.00,62959.00,81102.80,114444.80,118560.44,22230.01

Metric,Value
Benchmark Duration (sec),1802.75
Input Token Throughput (tokens/sec),4171.71
Maximum Response Timestamp (ns),1780487270569533184.00
Minimum Request Timestamp (ns),1780485467820164608.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),51.06
Request Count,137.00
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),93.14
Total Input Sequence Length (tokens),7520540.00
Total Output Sequence Length (tokens),92057.00
Total Output Tokens (tokens),92057.00
Total Token Throughput (tokens/sec),4222.77
Total Usage Completion Tokens (tokens),92057.00
Total Usage Prompt Tokens (tokens),7520540.00
Total Usage Total Tokens (tokens),7612597.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
