Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),788.90,7.00,10151.00,225624.00,7.85,77.75,99.00,132.25,240.00,560.75,1782.00,3464.25,8281.40,1575.41
Usage Prompt Tokens (tokens),100915.09,416.00,203682.00,28861717.00,26824.10,40120.00,52466.50,75779.50,98922.50,127220.50,154115.00,160150.75,188167.25,38046.49
Usage Total Tokens (tokens),101703.99,436.00,205060.00,29087341.00,26941.95,40460.00,52557.50,75904.50,99355.00,127525.75,155097.00,163308.75,196357.75,38577.36

Metric,Value
Benchmark Duration (sec),1780.19
Input Token Throughput (tokens/sec),16212.67
Maximum Response Timestamp (ns),1780274891035345152.00
Minimum Request Timestamp (ns),1780273110840380416.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),126.74
Request Count,286.00
Request Throughput (requests/sec),0.16
Theoretical Prefix Cache Hit (%),94.98
Total Input Sequence Length (tokens),28861717.00
Total Output Sequence Length (tokens),225624.00
Total Output Tokens (tokens),225624.00
Total Token Throughput (tokens/sec),16339.41
Total Usage Completion Tokens (tokens),225624.00
Total Usage Prompt Tokens (tokens),28861717.00
Total Usage Total Tokens (tokens),29087341.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
