Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),95309.59,0.00,220143.00,,,,,,115006.65,,205392.00,212439.54,218642.68,81656.49
Usage Completion Tokens (tokens),933.54,34.00,5246.00,78417.00,41.47,140.05,148.00,227.25,426.50,1245.50,2217.70,3501.65,4879.97,1152.44
Usage Prompt Tokens (tokens),146322.79,440.00,215453.00,12291114.00,56226.79,88636.75,96974.00,112241.50,149684.50,178717.00,198189.80,204641.85,213187.10,40873.43
Usage Total Tokens (tokens),147256.32,474.00,220143.00,12369531.00,56438.41,89042.00,97484.90,113656.75,150687.00,178957.25,198448.90,205881.00,215019.41,41084.81

Metric,Value
Benchmark Duration (sec),1763.14
Input Token Throughput (tokens/sec),6971.17
Maximum Response Timestamp (ns),1780203167141262336.00
Minimum Request Timestamp (ns),1780201404005773824.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),44.48
Request Count,84.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),98.17
Total Input Sequence Length (tokens),12291114.00
Total Output Sequence Length (tokens),78417.00
Total Output Tokens (tokens),78417.00
Total Token Throughput (tokens/sec),7015.64
Total Usage Completion Tokens (tokens),78417.00
Total Usage Prompt Tokens (tokens),12291114.00
Total Usage Total Tokens (tokens),12369531.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
