Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),3165788.06,57954.00,4127524.18,,,,,,3263415.57,,3747838.79,3824617.08,3936907.14,537114.00
Usage Completion Tokens (tokens),689.10,5.00,10571.00,554037.00,6.00,12.00,59.30,131.00,299.00,819.00,1662.50,2612.90,6058.74,1072.21
Usage Prompt Tokens (tokens),88298.74,401.00,247911.00,70992183.00,405.00,23874.00,36924.40,51020.75,79648.50,116588.50,156384.00,190175.00,236194.67,48688.83
Usage Total Tokens (tokens),88987.84,411.00,249314.00,71546220.00,427.00,24801.40,37406.20,51438.50,80641.50,117235.50,157009.80,192360.30,237272.79,48898.31

Metric,Value
Benchmark Duration (sec),1829.63
Input Token Throughput (tokens/sec),38801.46
Maximum Response Timestamp (ns),1780470313597817856.00
Minimum Request Timestamp (ns),1780468483971008000.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),302.81
Request Count,804.00
Request Throughput (requests/sec),0.44
Theoretical Prefix Cache Hit (%),95.98
Total Input Sequence Length (tokens),70992183.00
Total Output Sequence Length (tokens),554037.00
Total Output Tokens (tokens),554037.00
Total Token Throughput (tokens/sec),39104.27
Total Usage Completion Tokens (tokens),554037.00
Total Usage Prompt Tokens (tokens),70992183.00
Total Usage Total Tokens (tokens),71546220.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
