Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),1167243.50,484.00,1551568.00,,,,,,1207519.00,,1407774.41,1445434.00,1492674.34,239318.00
Usage Completion Tokens (tokens),886.55,6.00,10455.00,186175.00,6.00,13.45,97.50,258.25,635.50,993.25,2086.00,3257.40,4498.98,1123.59
Usage Prompt Tokens (tokens),94876.35,421.00,256199.00,19924034.00,426.58,31666.05,38667.30,53156.50,87854.00,116108.75,179172.00,230818.40,253004.43,55819.44
Usage Total Tokens (tokens),95762.90,439.00,257260.00,20110209.00,447.04,32181.25,38927.20,53456.00,88213.00,117170.50,180392.70,231671.75,254014.30,56184.47

Metric,Value
Benchmark Duration (sec),1823.41
Input Token Throughput (tokens/sec),10926.78
Maximum Response Timestamp (ns),1780440062589079808.00
Minimum Request Timestamp (ns),1780438239176737280.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),102.10
Request Count,210.00
Request Throughput (requests/sec),0.12
Theoretical Prefix Cache Hit (%),94.45
Total Input Sequence Length (tokens),19924034.00
Total Output Sequence Length (tokens),186175.00
Total Output Tokens (tokens),186175.00
Total Token Throughput (tokens/sec),11028.89
Total Usage Completion Tokens (tokens),186175.00
Total Usage Prompt Tokens (tokens),19924034.00
Total Usage Total Tokens (tokens),20110209.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
