Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),1319095.19,43712.40,2062255.03,,,,,,1361738.88,,1731436.33,1797818.34,1997733.58,345999.36
Usage Completion Tokens (tokens),904.61,2.00,10455.00,413407.00,6.00,10.00,12.00,156.00,458.00,1098.00,2172.40,3391.20,5473.08,1270.10
Usage Prompt Tokens (tokens),93089.61,408.00,256132.00,42541951.00,472.12,33992.00,40510.20,50886.00,90255.00,118957.00,146960.00,197986.80,247722.20,50597.44
Usage Total Tokens (tokens),93994.22,427.00,257203.00,42955358.00,490.36,34457.40,41262.00,51597.00,91228.00,119390.00,148058.00,205104.60,249616.32,51020.86

Metric,Value
Benchmark Duration (sec),1820.04
Input Token Throughput (tokens/sec),23374.18
Maximum Response Timestamp (ns),1780541279954249984.00
Minimum Request Timestamp (ns),1780539459914061056.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),227.14
Request Count,457.00
Request Throughput (requests/sec),0.25
Theoretical Prefix Cache Hit (%),94.50
Total Input Sequence Length (tokens),42541951.00
Total Output Sequence Length (tokens),413407.00
Total Output Tokens (tokens),413407.00
Total Token Throughput (tokens/sec),23601.32
Total Usage Completion Tokens (tokens),413407.00
Total Usage Prompt Tokens (tokens),42541951.00
Total Usage Total Tokens (tokens),42955358.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
