Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),4045909.45,158149.00,5430811.74,,,,,,4225227.33,,4982107.90,5148432.44,5428728.54,888364.94
Usage Completion Tokens (tokens),487.99,1.00,6719.00,239116.00,9.00,24.00,80.80,120.25,226.50,481.75,1146.20,1769.10,3682.49,790.06
Usage Prompt Tokens (tokens),104529.32,421.00,260223.00,51219366.00,2202.06,35575.95,48692.30,64252.25,93175.50,128865.75,185581.20,223746.50,241908.85,54352.23
Usage Total Tokens (tokens),105017.31,433.00,260471.00,51458482.00,2600.08,35844.30,48897.50,64546.00,93315.00,129138.00,186385.50,224406.10,243115.44,54535.09

Metric,Value
Benchmark Duration (sec),1827.44
Input Token Throughput (tokens/sec),28027.98
Maximum Response Timestamp (ns),1780247592374032384.00
Minimum Request Timestamp (ns),1780245764937105152.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),130.85
Request Count,490.00
Request Throughput (requests/sec),0.27
Theoretical Prefix Cache Hit (%),93.82
Total Input Sequence Length (tokens),51219366.00
Total Output Sequence Length (tokens),239116.00
Total Output Tokens (tokens),239116.00
Total Token Throughput (tokens/sec),28158.83
Total Usage Completion Tokens (tokens),239116.00
Total Usage Prompt Tokens (tokens),51219366.00
Total Usage Total Tokens (tokens),51458482.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
